AgeC_rcs1,AgeC_rcs2,AgeC_rcs3,AgeC_rcs4,PackYearsC_rcs1,PackYearsC_rcs2,SmokeFormer0to5C_cat,SmokeFormerPlus5C_cat,SmokeCurrentC_cat,AgeCXPackYearsC_int,AgeCXSmokeFormer0to5C_int,AgeCXSmokeFormerPlus5C_int,AgeCXSmokeCurrentC_int,DrinksLastWeekC_rcs1,FormerDrinkerC_cat,AgeCXDrinksLastWeekC_int,AgeCXFormerDrinkerC_int,FruitVegC_rcs1,FruitVegC_rcs2,AgeCXFruitVegC_int,PhysicalActivityC_rcs1,PhysicalActivityC_rcs2,AgeCXPhysicalActivityC_int,BMIC_rcs1,BMIC_rcs2,AgeCXBMIC_int,EduHSGrad2C_cat,EduSomePS2C_cat,EduPSGrad2C_cat,DiabetesC_cat,AgeCXDiabetesC_int,HypertensionC_cat,AgeCXHypertensionC_int,SurveyCycle2C_cat,SurveyCycle3C_cat,SurveyCycle4C_cat,H0_1Year,H0_5Year
0.32332282,-0.870691611,2.267623906,-1.939347966,0.017098605,-15.68476809,0.393392126,0.155671434,1.501909244,-0.000177549,-0.008416849,-0.004814871,-0.039370886,-0.014409962,0.200726129,0.000382958,-0.00214066,-0.087107078,0.123208413,-0.000425461,-0.130047211,0.158172002,0.00041484,0.018998919,0.003630808,-0.000738161,-0.038807422,0.062788872,-0.137985809,0.888883783,-0.02589452,0.389727461,-0.005311911,0.005001505,-0.109903015,-0.345303092,0.027192881,0.135988997
0.121341463,-0.103736939,0.249864307,-0.210499511,0.031813861,-26.58606132,-0.07204977,-0.200106425,0.687134335,-0.000432761,0.001845608,0.008187914,-0.014235883,-0.027683655,0.095108978,0.00033408,-0.000246172,-0.052005173,0.092116678,-0.00078223,-0.188367197,0.164799192,0.001931961,0.010798279,0.012563238,-0.000558855,-0.079947314,0.018520616,-0.162814853,0.872008701,-0.019105677,0.501736289,-0.007320606,-0.16153558,-0.314209504,-0.484294681,0.001210517,0.007082509
0.218027224,-0.44582652,1.071804717,-0.772912279,0.016095911,-5.141434609,0.245144672,0.119695076,1.125970058,-0.000289994,0.009772224,-0.002066587,-0.026572633,-0.006581318,0.356429798,1.67287E-05,-0.008484503,0.002343514,-0.031276369,-4.06932E-05,-0.111267938,0.153512606,0.0001354,0.014465453,0.011310956,-0.001089679,-0.077572434,0.041898242,-0.23683971,0.928798968,-0.017261497,0.237697316,-0.001212028,-0.113852412,-0.214577189,-0.403043908,0.0057843,0.033195443
0.156933245,-0.180536355,0.330266618,-0.075226762,0.0397618,-57.49148045,0.403648436,-0.065220764,1.160863268,-0.000138851,-0.004775169,0.005575473,-0.027355324,-0.02577361,0.198138764,0.00054002,-0.002058554,0.000942361,0.039694538,-0.001563069,-0.176203189,0.14362363,0.004474149,0.027832957,-0.005159947,-0.000681847,-0.069165845,-0.172645439,-0.310377251,0.81887298,-0.01579725,0.374557786,-0.006124951,-0.161862224,-0.269483359,-0.538169515,0.002604151,0.014441276
0.094376671,0.033958044,-0.113317203,0.083335511,0.012116501,-7.829817317,0.237427904,-0.14332302,1.110908355,-0.000158387,0.000907276,0.006566975,-0.022688522,-0.010023767,0.175732596,-0.000695416,-0.002709486,-0.049601872,0.071410782,-0.000878882,-0.214090233,0.225839985,0.002208865,0.034334055,-0.017955422,-0.000597821,-0.07177689,-0.274870948,-0.174243534,0.945186368,-0.019809452,0.561869055,-0.012142822,-0.026009551,-0.279316153,-0.300955538,0.000636754,0.00347689
0.126077447,-0.166596314,0.461268123,-0.434018061,0.023302974,-20.26549014,0.136112481,0.0234742,1.229718668,-0.00036995,0.012607145,0.003812694,-0.027349039,-0.032298931,0.117110722,-6.89392E-05,-0.001193044,0.008567598,0.024170079,-0.001974187,-0.169878855,0.152344456,0.001995522,0.028133726,-0.014378294,-0.000721801,-0.046990867,-0.163912113,-0.21568502,0.904805423,-0.018822029,0.336586333,-0.001178983,-0.090531392,-0.340342863,-0.319188529,0.001781242,0.009263652
0.070217094,0.173409899,-0.521415986,0.444804214,0.038998484,-38.60939264,-0.069345061,-0.004918269,0.991722184,-0.000375409,-0.005472588,-0.000931398,-0.026917811,-0.015763631,0.269426772,-0.000283578,-0.004589939,-0.063118088,0.07904079,-5.31204E-05,-0.156374519,0.091610251,0.001576222,0.01531913,-0.006710841,-0.000472281,-0.017228973,0.05817383,-0.255727232,1.045754624,-0.024744119,0.104725385,0.006394606,-0.158972127,-0.367447,-0.496408197,0.00045029,0.002447164
0.118888135,-0.063321163,0.059817686,0.092323828,0.014130344,-5.192120373,-0.308641403,-0.210433314,0.866354584,-0.000201643,0.019468853,0.007289111,-0.020723188,-0.032526477,0.296941454,0.000495011,-0.003895814,-0.007461031,0.062670943,-0.002827091,-0.062456323,0.048816542,0.000230812,-0.001877418,0.004084706,-0.000138828,-0.122545609,-0.057750209,-0.153640427,0.946498388,-0.020123169,0.425713332,-0.006676462,-0.137155156,-0.269541117,-0.58584122,0.001349424,0.007240276
0.102277597,0.095208313,-0.455957048,0.651752072,0.012924835,-6.976241868,-0.352843604,-0.271422345,0.903055648,-0.000186264,0.021621881,0.011123124,-0.021641508,-0.0252737,0.296169994,0.000628141,-0.01101152,0.023626828,-0.001891447,-0.001670522,-0.244311905,0.128472954,0.004608266,0.042151918,-0.016976509,-0.000815632,-0.072921845,-0.111358144,-0.193799452,1.13625234,-0.026809718,0.151590707,0.001936028,-0.117453791,-0.277743122,-0.337633243,0.000760275,0.004362192
0.17178034,-0.376072041,1.075592384,-1.029500224,0.0251139,-19.29751526,-0.051067927,-0.208930693,0.86444071,-0.00049236,0.012194854,0.013678634,-0.006032405,-0.016181343,0.249665843,0.000131632,-0.005193374,0.01790408,0.035176081,-0.002390075,-0.223710857,0.134301388,0.004097173,0.020572805,-0.012591874,0.000454417,-0.116551246,0.109808275,-0.254686098,1.063146422,-0.02702121,0.573691734,-0.014607336,-0.060307644,-0.274144246,-0.39708279,0.003085936,0.018955377
