AgeC_rcs1,AgeC_rcs2,AgeC_rcs3,AgeC_rcs4,PackYearsC_rcs1,PackYearsC_rcs2,SmokeFormer0to5C_cat,SmokeFormer5PlusC_cat,SmokeCurrentC_cat,AgeCXPackYearsC_int,AgeCXSmokeFormer0to5C_int,AgeCXSmokeFormer5PlusC_int,AgeCXSmokeCurrentC_int,DrinksLastWeekC_rcs1,DrinksLastWeekC_rcs2,AgeCXDrinksLastWeekC_int,FruitVegC_rcs1,FruitVegC_rcs2,AgeCXFruitVegC_int,PotatoC_rcs1,PotatoC_rcs2,AgeCXPotatoC_int,JuiceC_cont,AgeCXJuiceC_int,BMIC_rcs1,BMIC_rcs2,AgeCXBMIC_int,EduHSGrad2C_cat,EduSomePS2C_cat,EduPSGrad2C_cat,DiabetesC_cat,AgeCXDiabetesC_int,HypertensionC_cat,AgeCXHypertensionC_int,SurveyCycle2C_cat,SurveyCycle3C_cat,SurveyCycle4C_cat,H0_1Year,H0_5Year
0.28268557,-0.568943007,1.081772095,-0.354655872,0.011195113,-0.050618817,0.395430727,0.266782216,0.990337387,-6.92767E-05,-0.022588331,-0.012959094,-0.033813789,-0.042754123,0.081553482,0.000890545,-0.168211368,0.164462853,0.000728318,0.88932915,-0.9619138,-0.008574393,0.037642948,-0.006831337,0.08890561,-0.064162679,-0.001683071,-0.068987094,0.043716163,-0.208998307,0.536075564,-0.011064937,0.468791612,-0.015181652,-0.015648185,-0.032037191,-0.372391982,0.036286184,0.177883031
0.221965827,-0.359067848,0.597216825,-0.058517562,0.01517741,-0.058896384,0.103432203,-0.106327769,0.783456733,-9.2443E-05,-0.001637217,0.001982929,-0.020567645,-0.034822645,0.054614567,0.000204707,-0.142504907,0.116064603,0.000723333,0.520792895,-0.106482601,-0.011648917,0.094557828,-0.003924578,0.105852307,-0.082321746,-0.0008965,-0.027030313,-0.140619768,-0.272462181,0.739649334,-0.01821612,0.556075846,-0.022224729,-0.169526407,-0.272538022,-0.61260928,0.016060073,0.074927083
0.202101087,-0.36951136,0.742021081,-0.301154611,0.02046208,-0.094028355,0.192756469,-0.157368279,0.656855552,-0.0001464,0.005731437,0.007593933,-0.009239261,-0.067329913,0.186482242,7.34273E-05,-0.116648908,0.083112169,0.000237206,0.634727325,-0.771350711,-0.00575427,0.04392267,-0.004008478,0.076246397,-0.063165657,-0.000377894,-0.001836233,-0.080044796,-0.24367275,0.751334991,-0.015227927,0.559126208,-0.020187806,-0.038054448,-0.0426052,-0.378336109,0.01605599,0.072359199
0.246138305,-0.562456149,1.251021988,-0.679073054,0.017263457,-0.046778887,-0.087570733,-0.24394236,0.468337124,-0.000318907,0.000255068,0.010456128,-0.01390235,-0.011399088,0.003475478,9.15517E-05,-0.192700426,0.171437104,0.000213671,0.784951084,-1.046654843,-0.006536017,0.102257629,-0.002193353,0.097976511,-0.072581945,-0.001311102,0.00364045,0.129220594,-0.135047348,0.448164413,-0.010427735,0.570765383,-0.02296409,-0.030841172,-0.060987104,-0.417497991,0.036092297,0.155852439
0.231881096,-0.438659333,0.826515966,-0.240898915,0.022619315,-0.092990099,-0.16454854,-0.264366466,0.580854638,-0.000283006,0.013595072,0.011180645,-0.010063878,-0.059394908,0.148207934,5.41867E-05,-0.159063022,0.119003926,0.002068735,0.349891934,-0.42676738,-0.003704214,0.052086116,-0.001900544,0.07535978,-0.045983282,-0.000832087,0.02420911,0.138041156,-0.171712082,0.711992979,-0.02020834,0.4215191,-0.019666609,-0.077286069,-0.126192944,-0.447944677,0.023680827,0.10281397
0.173764451,-0.120957817,-0.165298391,0.708617991,0.024059343,-0.089089472,0.081773695,-0.150960055,0.44902177,-0.000338132,-0.00512138,0.006325423,-0.00057494,-0.039503702,0.089831255,0.000200832,-0.100766564,0.045467148,0.001592586,0.065187833,0.206867106,-0.001728637,0.084637722,-0.004638982,0.055295926,-0.030629661,-0.000308476,-0.017504987,0.169762246,-0.074945825,0.442442594,-0.012277825,0.460009557,-0.014653975,-0.034210694,-0.23230089,-0.329602123,0.008263556,0.038984506
0.178029411,-0.159304282,0.016065212,0.441239225,0.011415378,-0.045407426,0.266599672,-0.015939071,0.689854109,-0.000167913,-0.015306395,-0.001110298,-0.01997543,-0.043949094,0.121462222,0.000152507,-0.170912076,0.126157295,0.001026443,0.363821178,-0.295889645,0.001705379,0.104633904,-0.004557352,0.067728924,-0.037972827,-0.000989988,-0.028776375,0.051893103,-0.146441962,0.773028701,-0.020242349,0.468800362,-0.020172898,-0.130411573,-0.131324237,-0.36527471,0.007279733,0.034592534
0.169542311,-0.06049043,-0.311029705,0.751438129,-0.001126103,0.034592138,0.363316353,0.034710102,1.032954914,-0.000282217,-0.00333467,0.004887296,-0.02557403,-0.05020526,0.112302828,0.000290432,-0.101592907,0.073044048,0.001017173,0.614866804,-0.44130876,-0.013030212,0.053074552,-0.001673034,0.062668478,-0.028123528,-0.001270146,-0.082001986,-0.145788554,-0.17603937,0.349355876,-0.002379335,0.493921649,-0.014193592,-0.098659146,-0.045524399,-0.339241423,0.004996123,0.022795366
0.2291904,-0.384939498,0.632901654,-0.047862867,0.009632834,-0.020924064,0.045729949,-0.272707946,0.614503272,-0.000206842,0.00592613,0.010793214,-0.013787245,-0.056445444,0.143053972,0.000438394,-0.1282563,0.095729232,4.12109E-05,0.806144997,-0.891115583,-0.007809721,0.078485228,-0.002025272,0.079126654,-0.07765877,-0.000277815,-0.007937757,0.006770908,-0.185340435,0.430820578,-0.001818358,0.656537122,-0.022683837,-0.048841383,-0.116973412,-0.489864757,0.020495533,0.089348441
0.142388387,-0.01149832,-0.344582609,0.651905805,0.010835261,-0.034087742,0.207512038,-0.004729845,0.827996788,-0.000254388,-0.007192538,0.001537306,-0.017610713,-0.036889626,0.076950284,0.000261908,-0.085318502,0.02996367,0.001399513,0.706867646,-0.657432667,-0.011239498,0.102429174,-0.004730436,0.070015036,-0.047401613,-0.000617773,-0.0351438,0.077886485,-0.177381395,0.633084173,-0.015270283,0.462580864,-0.020087907,-0.095934164,-0.186376752,-0.454831628,0.004917316,0.023893915
