Covariate,Beta
Age_cont_C_rcs1,0.245279263
Age_cont_C_rcs2,-0.59957265
Age_cont_C_rcs3,1.106105622
Age_cont_C_rcs4,-0.835209921
MS_cat3_1_C,0.06825224
MS_cat3_2_C,0.088459004
Edu_cat4_1_C,0.10969
Edu_cat4_2_C,0.043
Edu_cat4_3_C,-0.01645
Stress_cat5_1_C,-0.070428472
Stress_cat5_2_C,0.021273964
Stress_cat5_3_C,0.07269401
Stress_cat5_4_C,0.122294467
PackYears_C_rcs1,0.00696192
PackYears_C_rcs2,-0.052875288
smokeSimp_cat4_4_C,0.039406677
smokeSimp_cat4_3_C,0.123883776
smokeSimp_cat4_2_C,0.02632212
DrinksLastWeek_C_rcs1,-0.028630605
DrinksLastWeek_C_rcs2,0.027864201
formerDrinker_cat2_1_C,0.131370158
FruitVeg_C_rcs1,-0.064852024
FruitVeg_C_rcs2,0.040922731
Potato_C_rcs1,0.096159111
Potato_C_rcs2,0.125711938
Juice_C_rcs1,0.169633579
Juice_C_rcs2,-0.040861136
PhysicalActivity_C_rcs1,-0.046545656
PhysicalActivity_C_rcs2,0.065910843
COPD_cat2_1_C,-0.18354168
HeartDis_cat2_1_C,0.067801038
Stroke_cat2_1_C,0.368505128
Diabetes_cat2_1_C,0.40951651
Mood_cat2_1_C,0.304972654
Hypertension_cat2_1_C,-0.004768246
epilepsy_cat2_1_C,0.357291218
BMI_C_rcs1,-0.041788926
BMI_C_rcs2,0.018017794
AgeCXPackYearsC_int,-0.000155971
AgeCXSmokeFormer5PlusC_int,0.002122531
AgeCXSmokeFormer0to5C_int,-0.007432523
AgeCXSmokeCurrentC_int,-0.01222868
AgeCXDrinksLastWeekC_int,3.86E-05
AgeCXFormerDrinkerC_int,-0.005918187
AgeCXFruitVegC_int,0.001669135
AgeCXJuiceC_int,-0.007208772
AgeCXPotatoC_int,-0.006889885
AgeCXPhysicalActivityC_int,-0.001253917
AgeCXCOPDC_int,-0.006717978
AgeCXHeartDisC_int,-0.018081279
AgeCXStrokeC_int,0.000146041
AgeCXDiabetesC_int,-0.024582615
AgeCXMoodC_int,-0.002786065
AgeCXHypertensionC_int,-0.013929878
AgeCXEpilepsyC_int,-0.034946372
AgeCXBMIC_int,0.000671524
NeedHelp_cat7_1_C,0.259410494
NeedHelp_cat7_2_C,0.39347433
NeedHelp_cat7_3_C,0.475296526
NeedHelp_cat7_4_C,0.466321125
NeedHelp_cat7_5_C,0.33186687
NeedHelp_cat7_6_C,0.628219989
AgeCXNeedHelp1C_int,-0.024609867
AgeCXNeedHelp2C_int,-0.016608818
AgeCXNeedHelp3C_int,-0.036957964
AgeCXNeedHelp4C_int,-0.025498419
AgeCXNeedHelp5C_int,-0.023488379
AgeCXNeedHelp6C_int,-0.060376248
