age	Canada_females_all-cause-mortality_2010	Canada_males_all-cause-mortality_2010
20	2.354209014	3.823088042
21	2.016337124	3.282910033
22	1.718052312	2.882047074
23	1.734238245	2.903409198
24	1.314500143	2.344531956
25	1.221399533	2.263170315
26	1.356216507	1.961105167
27	1.337225125	1.454895777
28	1.078884372	1.497582481
29	1.48786685	1.314113858
30	1.210963092	1.313472941
31	0.893762494	1.560295841
32	1.128807096	1.411348259
33	0.965129269	1.200454274
34	1.233528483	1.259303358
35	1.057104339	1.234581111
36	1.141099837	1.18886681
37	0.920729249	1.198078321
38	0.986157542	0.978235627
39	0.923450703	0.993915308
40	1.132960673	0.897080474
41	1.042644514	1.068567429
42	0.942454684	1.006285817
43	0.923656492	0.907627453
44	0.954033464	1.078264321
45	0.762469132	1.025634012
46	0.905135485	0.945870642
47	0.900091555	1.002453721
48	0.744641087	0.872867743
49	0.925286005	0.944956195
50	0.900839115	0.923698656
51	0.966926773	0.961721949
52	0.933357972	0.864629676
53	0.866888135	0.894664296
54	0.855435349	0.893975109
55	0.882486099	0.891727876
56	0.873716969	1.027377093
57	0.908533103	0.859818773
58	0.83265157	0.858011333
59	0.817024208	0.885155121
60	0.811131923	0.887804603
61	0.868185865	0.897126062
62	0.787218405	0.878019217
63	0.789532481	0.953011909
64	0.864418667	1.002944465
65	0.888861357	0.975065902
66	0.863587112	1.04221205
67	0.838942833	0.917506697
68	0.850223428	0.939844946
69	0.904198935	0.842562275
70	0.848577116	0.934395808
71	0.929191795	0.939013631
72	0.862528768	0.925404194
73	0.952189763	0.901381861
74	0.902019252	0.984245233
75	0.978043577	0.980214694
76	0.996203403	0.880926139
77	0.975884893	0.924849089
78	1.104238413	0.902701239
79	1.112726158	0.930542259
80	1.120063165	0.877734961
81	1.210026543	0.876297589
82	1.208262637	0.96138406
83	1.125703462	0.903028401
84	1.120008568	0.975210712
85	1.179237993	0.935677643
86	1.194701564	0.946865539
87	1.263346885	1.126947222
88	1.233872864	1.040656686
89	1.247921111	1.063096838
90	1.428112453	0.943679724
91	1.302845767	1.025108406
92	1.262716918	1.057746921
93	0.989538361	1.340560414
94	1.364036488	1.122366943
95	1.36063887	0.977600073
96	1.493154367	1.101023591
97	1.578342601	1.102691585
98	1.574789591	1.232942615
99	1.483284896	1.258405001
