Name,variableType,Tool,usageType,Sex,knots,betacoefficent,variableUse,Baseline.Survival,Means,Label_Long,Label,Reference,Type
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.1415968025,Assessment in 2007,2007,Yes,ASSESSMENT
A1_cat7_1_c,categorical,RESPECT,active,Both,NA,0.011221686,Input,0.921096526,0.142029471,Assessment in 2008,2008,No,ASSESSMENT
A1_cat7_2_c,categorical,RESPECT,active,Both,NA,-0.008461137,Input,0.921096526,0.1413541775,Assessment in 2009,2009,No,ASSESSMENT
A1_cat7_3_c,categorical,RESPECT,active,Both,NA,-0.027472382,Input,0.921096526,0.141211457,Assessment in 2010,2010,No,ASSESSMENT
A1_cat7_4_c,categorical,RESPECT,active,Both,NA,-0.119290669,Input,0.921096526,0.1459730649,Assessment in 2011,2011,No,ASSESSMENT
A1_cat7_5_c,categorical,RESPECT,active,Both,NA,-0.134421662,Input,0.921096526,0.1467640371,Assessment in 2012,2012,No,ASSESSMENT
A1_cat7_6_c,categorical,RESPECT,active,Both,NA,-0.130522246,Input,0.921096526,0.1410709899,Assessment in 2013,2013,No,ASSESSMENT
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.3803081712,Initial Assessment,Initial Assessment,Yes,ASSESSMENT
A2_cat5_1_c,categorical,RESPECT,active,Both,NA,-0.094325877,Input,0.921096526,0.1770155333,Follow-Up Assessment,Follow-Up Assessment,No,ASSESSMENT
A2_cat5_2_c,categorical,RESPECT,active,Both,NA,-0.279078133,Input,0.921096526,0.3705919071,Routine Assessment at Fixed Intervals,Routine Assessment at Fixed Intervals,No,ASSESSMENT
A2_cat5_3_c,categorical,RESPECT,active,Both,NA,0.12374996,Input,0.921096526,0.05245881198,Review at Return From Hospital,Review at Return From Hospital,No,ASSESSMENT
A2_cat5_4_c,categorical,RESPECT,active,Both,NA,-0.049508924,Input,0.921096526,0.01962557642,Change in Status,Change in Status,No,ASSESSMENT
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.551092075,Independent,Independent,Yes,FUNCTION
ADL_cat7_1_c,categorical,RESPECT,active,Both,NA,0.114376725,Input,0.921096526,0.1132562592,Supervision Required,Supervision Required,No,FUNCTION
ADL_cat7_2_c,categorical,RESPECT,active,Both,NA,0.270531305,Input,0.921096526,0.1557847263,Limited Impairment,Limited Impairment,No,FUNCTION
ADL_cat7_3_c,categorical,RESPECT,active,Both,NA,0.363987657,Input,0.921096526,0.07485542034,Extensive Assistance Required (I),Extensive Assistance Required (I),No,FUNCTION
ADL_cat7_4_c,categorical,RESPECT,active,Both,NA,0.687408565,Input,0.921096526,0.0546619664,Extensive Assistance Required (II),Extensive Assistance Required (II),No,FUNCTION
ADL_cat7_5_c,categorical,RESPECT,active,Both,NA,0.895189374,Input,0.921096526,0.03772855004,Dependent,Dependent,No,FUNCTION
ADL_cat7_6_c,categorical,RESPECT,active,Both,NA,1.288555722,Input,0.921096526,0.0126210026,Total Dependence,Total Dependence,No,FUNCTION
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,79.72542972,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.8100089163,,,,
B2B_cat2_1_c,categorical,RESPECT,active,Both,NA,0.083725427,Input,0.921096526,0.1899910837,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.3438272991,Grade 11 or Lower,Grade 11 or Lower,Yes,EDUCATION
BB6_cat5_1_c,categorical,RESPECT,active,Both,NA,0.061620104,Input,0.921096526,0.1611224745,High School,High School,No,EDUCATION
BB6_cat5_2_c,categorical,RESPECT,active,Both,NA,0.030168308,Input,0.921096526,0.05988478697,Technical/Trade School,Technical/Trade School,No,EDUCATION
BB6_cat5_3_c,categorical,RESPECT,active,Both,NA,-0.012606079,Input,0.921096526,0.1501510209,Some College/University,Some College/University,No,EDUCATION
BB6_cat5_4_c,categorical,RESPECT,active,Both,NA,0.101250157,Input,0.921096526,0.2850144185,Unknown,Unknown,No,EDUCATION
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.8537565173,No Cancer/Chemotherapy Not Applicable,No Cancer/Chemotherapy Not Applicable,Yes,HEALTH
Cancer_cat6_1_c,categorical,RESPECT,active,Both,NA,1.178246656,Input,0.921096526,1.73E-05,No Cancer/Chemotherapy Scheduled Not Recieved,No Cancer/Chemotherapy Scheduled Not Recieved,No,HEALTH
Cancer_cat6_2_c,categorical,RESPECT,active,Both,NA,0.702494555,Input,0.921096526,0.0006024309064,No Cancer/Chemotherapy Scheduled Recieved,No Cancer/Chemotherapy Scheduled Recieved,No,HEALTH
Cancer_cat6_3_c,categorical,RESPECT,active,Both,NA,0.775620399,Input,0.921096526,0.130364696,Cancer/Chemotherapy Scheduled Not Applicable,Cancer/Chemotherapy Scheduled Not Applicable,No,HEALTH
Cancer_cat6_4_c,categorical,RESPECT,active,Both,NA,1.33086259,Input,0.921096526,0.0003139851856, Cancer/Chemotherapy Scheduled Not Recieved, Cancer/Chemotherapy Scheduled Not Recieved,No,HEALTH
Cancer_cat6_5_c,categorical,RESPECT,active,Both,NA,1.21225015,Input,0.921096526,0.01494509391, Cancer/Chemotherapy Scheduled Recieved, Cancer/Chemotherapy Scheduled Recieved,No,HEALTH
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.5393161282,,,,
H3_cat2_1_c,categorical,RESPECT,active,Both,NA,0.339939294,Input,0.921096526,0.4606838718,,,,
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.032461411,No difficulty in any of the 3 IADLs ,No difficulty in any of the 3 IADLs ,Yes,FUNCTION
IADL_cat7_1_c,categorical,RESPECT,active,Both,NA,0.024146042,Input,0.921096526,0.06063144073,Some difficulty in one IADLs but no difficulty in the other two,Some difficulty in one IADLs,No,FUNCTION
IADL_cat7_2_c,categorical,RESPECT,active,Both,NA,0.180426428,Input,0.921096526,0.1276920662,Some difficulty in two IADLs but no difficulty in the other one,Some difficulty in two IADLs,No,FUNCTION
IADL_cat7_3_c,categorical,RESPECT,active,Both,NA,0.248088057,Input,0.921096526,0.1030464826,Some difficulty in all three IADLs,Some difficulty in all three IADLs,No,FUNCTION
IADL_cat7_4_c,categorical,RESPECT,active,Both,NA,0.416117902,Input,0.921096526,0.2262458564,Great difficulty in one IADL but less than great difficulty in the other two,Great difficulty in one IADL,No,FUNCTION
IADL_cat7_5_c,categorical,RESPECT,active,Both,NA,0.54136652,Input,0.921096526,0.2643867937,Great difficulty in two IADLs but less than great difficulty in the other one,Great difficulty in two IADLs,No,FUNCTION
IADL_cat7_6_c,categorical,RESPECT,active,Both,NA,0.702610582,Input,0.921096526,0.1855359494,Great Difficulty in all three IADLs,Great Difficulty in all three IADLs,No,FUNCTION
NA,categorical,RESPECT,active,Both,NA,NA,Reference,NA,0.8077148714,,,,
