Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,3,3,3,3,4,4,5,4,6,7,7,7,8,8,10,10,12,14,15,17,18,20,22,23,24,28,28,34,36,35,38,42,42,44,45,49,57,55,56,61,65,71,72,83,72,74,77,98,92,95,89,105,118,112,129,111,148,145,179
98,0,3,3,4,4,5,6,7,7,7,9,10,11,12,13,13,15,17,20,23,24,27,30,34,37,39,40,46,48,53,56,59,63,69,71,76,76,83,91,91,96,101,110,114,117,133,125,137,138,164,159,171,163,181,198,192,212,223,255,252,308
97,0,4,4,5,5,6,7,8,9,9,12,14,15,17,17,19,21,24,27,31,34,36,41,46,51,53,57,63,67,73,78,86,86,94,99,101,107,117,123,125,132,141,153,152,161,181,175,192,194,226,207,230,230,241,267,260,288,294,360,336,416
96,3,4,5,6,6,8,9,10,11,12,14,17,18,21,22,24,27,29,35,39,42,46,53,58,64,68,72,80,85,91,100,107,112,120,124,129,138,145,155,158,165,175,192,187,207,228,218,250,241,287,258,292,295,304,336,341,351,364,417,419,516
95,3,5,6,6,7,9,10,12,13,15,17,20,22,25,27,28,33,37,42,46,51,56,64,71,78,84,87,96,103,108,122,129,136,142,148,156,168,175,185,190,200,213,230,229,246,275,265,295,289,333,312,344,360,370,398,412,420,434,498,499,610
94,3,5,6,7,8,10,11,13,15,17,20,23,25,30,31,34,39,44,49,55,60,67,74,82,95,97,104,113,120,128,144,150,158,168,176,186,200,204,214,218,233,247,266,269,285,321,310,340,335,380,366,393,421,430,460,473,492,499,574,579,713
93,4,6,7,8,9,12,13,15,17,20,23,26,30,35,36,38,45,52,57,64,69,78,85,94,110,112,122,131,139,147,165,171,182,194,200,213,229,240,246,249,269,282,299,307,320,363,354,389,379,424,423,450,472,492,525,533,548,567,643,655,796
92,4,6,8,9,10,13,14,17,19,22,25,30,34,39,41,44,51,59,65,73,79,89,97,108,126,127,137,149,159,168,185,192,206,217,226,240,259,268,276,280,301,313,335,344,359,408,397,431,424,477,473,504,529,548,577,591,620,640,697,717,879
91,4,7,9,10,11,15,16,19,21,25,28,33,37,44,46,49,57,66,74,81,88,100,109,121,142,145,153,167,178,190,208,213,230,242,251,268,288,296,305,311,332,346,370,383,400,450,439,471,470,524,530,548,586,603,633,639,680,703,773,787,968
90,5,8,10,11,12,16,18,21,23,28,31,37,41,49,51,54,63,73,82,92,99,111,121,136,157,160,172,184,199,210,228,235,257,267,277,296,320,324,334,342,367,383,409,417,439,490,480,515,514,565,579,602,632,660,684,700,747,749,833,848,1039
89,5,8,10,12,13,17,19,23,26,30,34,41,45,53,57,59,70,80,91,101,110,123,134,150,172,176,188,203,221,232,250,259,283,290,302,323,348,352,366,372,400,417,437,454,477,525,521,557,556,609,629,652,681,711,740,752,818,804,887,924,1122
88,5,9,11,13,15,19,21,25,28,33,37,44,50,58,62,66,77,89,101,113,121,135,147,166,188,193,204,220,240,252,275,282,307,315,327,348,375,387,395,404,432,449,471,491,515,563,558,596,599,649,672,703,724,765,791,807,875,862,938,982,1197
87,5,9,12,13,16,20,22,27,31,35,41,49,54,64,68,73,84,98,111,124,132,147,160,180,205,211,220,240,262,271,296,303,329,340,354,377,404,415,426,434,466,479,503,526,551,601,598,633,642,693,725,750,772,811,844,855,932,929,994,1046,1273
86,6,10,12,14,17,21,24,29,33,38,45,53,59,69,74,81,92,107,120,135,143,160,173,195,222,228,238,259,282,291,318,327,352,367,379,403,429,446,454,463,499,512,537,563,588,636,639,671,687,737,767,796,817,858,890,906,991,985,1046,1100,1346
85,6,10,13,16,18,23,26,31,35,41,49,57,63,75,81,88,101,117,131,147,155,172,187,211,238,245,258,278,302,313,342,350,376,391,404,430,456,477,485,494,530,547,571,598,623,674,677,711,726,777,812,847,861,911,941,959,1048,1047,1099,1161,1416
84,6,11,14,17,20,24,28,34,37,44,52,62,68,81,88,96,109,127,142,159,168,185,202,226,255,263,277,297,322,336,366,372,401,417,432,456,485,506,515,525,564,579,603,630,658,715,717,754,766,819,869,892,907,957,991,1006,1098,1097,1159,1223,1494
83,7,11,15,17,21,25,30,36,40,47,56,67,73,88,95,103,117,136,152,172,181,200,217,240,273,281,297,318,342,357,386,396,426,440,459,480,513,534,545,557,596,611,634,665,694,749,757,797,808,858,917,936,951,1007,1040,1055,1155,1144,1218,1288,1563
82,7,12,16,18,22,27,32,39,42,50,61,72,79,94,103,111,126,145,164,185,195,215,233,256,292,300,317,339,362,380,408,421,452,464,485,510,540,563,574,588,627,643,664,698,729,785,796,836,849,895,955,976,997,1055,1089,1106,1197,1196,1278,1345,1637
81,7,13,17,20,23,28,35,41,45,53,65,78,85,101,110,118,134,156,176,199,208,230,247,271,309,318,338,358,381,400,431,443,476,489,513,536,569,594,605,620,658,674,698,729,765,821,831,878,896,940,998,1016,1040,1101,1135,1150,1242,1249,1323,1399,1712
80,8,13,18,21,24,31,37,44,48,57,70,83,91,108,117,127,144,167,187,212,222,247,264,288,327,338,360,378,402,422,454,467,499,514,539,565,596,622,634,649,692,706,733,767,800,856,867,919,937,977,1036,1057,1086,1149,1186,1197,1285,1303,1377,1463,1772
79,8,14,19,22,26,32,39,46,51,60,75,89,97,117,127,136,154,178,198,226,236,262,282,306,345,359,380,400,424,447,477,492,526,542,566,591,623,650,663,680,725,741,767,800,837,891,902,959,978,1015,1076,1101,1137,1191,1235,1246,1335,1359,1419,1518,1831
78,8,15,21,23,27,34,42,49,54,64,79,94,104,125,135,145,165,190,211,240,251,277,298,322,364,379,400,422,444,470,500,517,551,568,592,618,650,681,690,709,757,772,803,835,875,925,940,996,1017,1059,1125,1142,1182,1234,1277,1292,1389,1407,1479,1577,1915
77,9,16,22,24,29,36,44,52,58,69,84,101,110,132,146,153,177,202,224,254,267,293,316,343,382,401,422,446,468,492,524,542,576,592,619,648,679,711,720,738,787,806,839,871,909,961,982,1036,1063,1100,1169,1181,1228,1280,1324,1339,1436,1452,1531,1630,1977
76,9,16,23,25,30,38,47,55,62,73,89,107,116,141,156,161,188,214,239,268,281,308,333,362,400,423,443,468,491,518,547,567,602,620,644,678,709,740,751,771,820,838,871,906,945,997,1019,1075,1104,1141,1206,1231,1282,1318,1368,1390,1494,1509,1585,1693,2044
75,10,17,24,26,31,40,49,58,66,78,96,114,124,149,164,171,199,227,252,283,297,325,350,379,420,442,463,489,514,540,573,593,628,647,672,707,739,771,779,803,852,874,906,940,982,1034,1054,1116,1143,1183,1254,1272,1333,1358,1415,1443,1542,1563,1637,1751,2111
74,10,18,25,27,33,42,52,62,69,83,101,121,133,158,174,181,211,238,268,298,315,341,368,398,439,465,483,513,534,565,597,618,653,674,700,736,766,804,812,837,883,906,939,975,1017,1074,1089,1154,1185,1224,1291,1313,1376,1398,1465,1491,1589,1621,1689,1806,2186
73,10,19,26,29,34,44,55,65,74,88,107,128,141,166,183,191,223,252,281,313,330,357,387,416,461,486,503,536,557,587,623,645,679,702,730,763,793,834,844,867,917,941,972,1010,1052,1112,1124,1194,1225,1266,1331,1361,1423,1443,1512,1539,1643,1668,1736,1868,2262
72,11,19,27,30,36,46,57,69,79,93,113,136,148,176,193,200,235,266,296,327,346,375,405,436,481,507,525,560,580,610,648,672,707,729,758,792,823,862,874,899,953,976,1005,1044,1087,1149,1159,1232,1265,1314,1369,1410,1468,1490,1555,1583,1686,1717,1796,1925,2335
71,11,20,28,31,37,48,61,72,82,99,119,142,157,186,204,210,247,281,312,343,363,393,422,456,501,529,550,584,604,632,675,695,732,756,784,820,851,892,904,929,981,1008,1037,1082,1125,1184,1197,1272,1307,1358,1410,1453,1519,1532,1604,1624,1730,1758,1852,1979,2408
